지하철역,4승,4하,5승,5하,6승,6하,7승,7하,8승,8하,9승,9하,10승,10하,11승,11하,12승,12하,13승,13하,14승,14하,15승,15하,16승,16하,17승,17하,18승,18하,19승,19하,20승,20하,21승,21하,22승,22하,23승,23하,24승,24하,1승,1하,2승,2하,3승,3하
9호선2~3단계 중앙보훈병원,2,0,2462,567,11012,6122,35134,10757,36059,19193,22140,12571,16582,12328,15458,7696,13556,9869,9735,13033,14797,10183,15947,9348,15099,9276,17730,13607,12142,24235,4674,22504,3052,11967,2723,12105,2108,14096,411,3933,1,509,0,0,0,0,0,0
우이신설선 북한산우이,5,0,1106,601,2451,4668,8064,3687,8492,4290,4674,6972,3570,7948,3777,5941,4977,4766,5242,4360,6992,3773,6699,3616,9512,3792,6376,3915,3996,5110,2253,4877,1626,2893,1048,2835,594,2547,254,1239,0,142,0,0,0,0,0,0
우이신설선 솔밭공원,0,0,1558,274,3587,1101,9283,1658,9108,2737,5931,1956,4264,2097,3627,2291,3872,3264,3772,3343,3580,3624,3304,3837,3547,4271,2936,4823,2495,7278,1639,7535,1016,4316,815,3468,683,3253,263,1915,1,71,0,0,0,0,0,0
우이신설선 4.19민주묘지,1,3,1163,144,3133,686,7441,1338,8776,5320,5453,4164,4316,3699,4833,4564,4930,4515,5100,4658,5209,4621,5998,4470,6014,4965,5907,5410,4697,7379,2634,7622,1964,4259,1639,3656,1044,3243,271,2027,1,8,0,0,0,1,0,0
우이신설선 가오리,1,0,2276,265,5693,1166,16261,2452,16429,4839,9831,3059,7140,3739,6105,3978,6068,4507,6454,4922,5226,5403,5113,6528,4996,8356,5065,8813,4340,12979,2905,13322,1938,7532,1368,6427,1146,6049,295,2727,0,10,0,0,0,0,0,0
우이신설선 화계,2,0,1821,613,3802,1390,12396,2043,13918,4234,7766,3287,5733,3357,5116,3373,5555,3820,5048,4497,4700,4263,4447,5162,4761,6407,4312,6555,3577,10117,2836,9498,1751,5347,1256,4682,969,4310,304,2142,3,15,0,0,0,0,0,0
우이신설선 삼양,0,0,978,343,2464,916,6863,1210,7316,3036,4812,2253,3736,2327,3167,2337,3230,2629,3468,2857,3043,3209,2744,4444,2846,4691,2746,4542,2435,6710,1750,5976,1200,3469,865,3066,543,2662,153,1192,1,5,0,0,0,0,0,0
우이신설선 삼양사거리,4,1,1216,320,2656,911,7071,1949,8115,4266,4948,2982,4356,2865,3815,3021,4228,3300,4263,3560,3650,3993,3577,4818,3620,5185,3610,5391,3188,7244,2432,6321,1516,3422,1232,2944,924,2418,300,1174,0,4,0,0,0,0,0,0
우이신설선 솔샘,0,0,2531,229,9186,1014,29274,3086,27766,4302,14247,2891,8550,3146,7436,3342,8105,4140,7200,4586,6360,5444,5843,7060,6283,9493,5558,12354,4749,21899,2724,21440,2004,11692,1510,10126,1379,10200,446,4635,1,17,0,0,0,0,0,0
우이신설선 북한산보국문,0,0,1914,556,6583,2227,19702,5196,23588,7928,14355,5596,9819,4758,8709,4749,9266,5515,8892,5881,8031,6627,8202,8215,9236,10429,9547,12916,9156,20311,5124,18464,3265,10973,3185,9700,2487,9436,889,4555,0,4,0,0,0,0,0,0
우이신설선 정릉,2,1,1820,454,4992,1681,13870,3235,16408,6315,11104,3536,8021,3560,7179,3865,7450,4543,6995,5082,6304,5545,5996,6936,6604,8223,7093,10273,7397,15463,3875,12742,2424,7482,2228,6324,1682,6362,481,2121,1,5,0,0,0,0,0,0
우이신설선 성신여대입구(돈암),0,0,779,342,1240,1008,3509,3878,5607,7724,3896,5872,3702,5394,3973,4992,4806,5912,4914,6595,4825,6458,5602,6374,6170,7259,6850,9050,8797,10954,5908,6724,5214,3269,6680,2496,5773,2485,992,1376,0,14,0,0,0,0,0,0
우이신설선 보문,0,0,401,286,724,1151,2032,3025,3322,5043,2660,2821,2242,2018,2069,1918,2090,1986,2440,2325,2330,2072,2668,2362,2983,2456,3232,2745,4423,3367,2158,2283,1529,1611,1518,1482,1436,1363,425,744,0,12,0,0,0,0,0,0
우이신설선 신설동,6,0,867,665,1097,2050,1211,4996,2029,13813,1496,7142,1869,3750,2165,2904,2548,2650,2796,3339,3249,2645,4212,2120,5194,2069,6618,2340,10514,2044,4596,1236,2777,795,2784,712,2217,964,576,709,2,248,0,0,0,0,0,0
