기간,자치구,살인,강도,성폭행,절도,폭력
2017,마포구,0.7776,2.0737,129.6065,542.7922,692.8766
2017,서대문구,1.2307,0.3077,62.1485,378.4289,515.6479
2017,서초구,2.0207,2.9187,105.5229,406.8244,539.7383
2017,성동구,0.3198,0.9594,42.2115,342.8085,498.5434
2017,성북구,1.5371,1.7567,37.988,295.1206,417.6484
2017,송파구,0.894,0.149,42.91,338.8098,448.0216
2017,양천구,0.6316,0.6316,29.0515,334.7242,452.1934
2017,영등포구,3.7311,1.2437,113.1773,573.1001,793.485
2017,용산구,0.4091,2.0455,133.773,550.6374,974.0472
2017,은평구,1.2215,0.8143,46.8239,282.3686,459.2815
2017,종로구,4.2616,6.088,154.0269,1000.8706,1304.6628
2017,중구,0.743,6.6868,198.3758,1371.5424,1531.2832
2017,중랑구,1.2113,0.7268,41.6687,371.3843,692.3785
2018,강남구,1.8266,2.5573,109.5984,548.7229,709.65
2018,강동구,0.6946,1.6207,39.3591,350.7594,514.9102
2018,강북구,2.4774,2.1678,58.2197,344.3631,657.1389
2018,강서구,1.8224,0.994,44.5651,285.6144,433.8887
2018,관악구,1.7306,1.9229,67.6871,386.8933,508.2301
2018,광진구,1.8865,0.539,61.7146,476.7385,514.1984
2018,구로구,1.8245,2.0525,57.0144,391.5746,644.4904
2018,금천구,2.362,2.7557,78.7336,459.8045,752.6937
2018,노원구,0.9121,0.9121,35.3911,259.4133,434.3622
2018,도봉구,0.2927,1.4635,33.0749,228.5972,394.8497
2018,동대문구,0.5489,1.3724,39.7982,397.1587,571.1729
2018,동작구,0.7328,1.7099,70.3494,281.1534,403.2879
2018,마포구,1.553,1.553,122.425,520.5004,692.6201
2018,서대문구,1.5476,0.9286,63.7613,328.7112,472.3288
2018,서초구,1.1411,1.1411,107.266,422.4455,546.6002
2018,성동구,0.632,1.58,39.8151,315.6767,418.6903
2018,성북구,1.5636,0.2234,40.8768,260.0031,376.8258
2018,송파구,0.7424,0.8909,45.8793,349.2169,465.474
2018,양천구,0.4272,0.8544,25.6331,295.6349,428.2861
2018,영등포구,4.2121,1.9822,96.8781,567.889,776.0159
2018,용산구,0.408,1.224,135.0524,447.1827,807.8665
2018,은평구,1.6405,0.2051,38.551,262.0646,433.6985
2018,종로구,3.6804,1.8402,144.7622,909.6709,1203.489
2018,중구,1.4746,8.1101,152.6177,1367.6613,1441.3896
2018,중랑구,0.98,0.735,42.6317,373.8849,632.3702
2019,강남구,0.9087,0.9087,121.0449,539.7949,664.8383
2019,강동구,1.3624,3.4061,40.8729,374.6679,491.1556
2019,강북구,1.8886,0.9443,55.399,386.849,762.996
2019,강서구,1.3372,0.5014,51.1472,342.6529,427.3969
2019,관악구,2.5129,1.933,78.8659,429.7031,516.8808
2019,광진구,1.09,1.635,74.3926,510.9382,504.9432
2019,구로구,2.276,0.6828,51.4372,436.0779,580.8303
2019,금천구,2.3827,3.9711,60.7577,459.4552,706.457
2019,노원구,0.7445,0.5583,34.2451,278.7999,458.5867
2019,도봉구,0.2979,1.4897,26.8152,235.3775,364.6862
2019,동대문구,1.6528,2.7546,46.2781,421.7364,544.5936
2019,동작구,0.9782,0.2446,61.3824,324.7643,444.1053
2019,마포구,0.5182,0.5182,128.2633,567.4678,557.8804
2019,서대문구,0.6189,1.5472,54.1509,379.3657,474.9807
2019,서초구,1.1491,1.6088,141.5744,521.7108,607.6666
2019,성동구,1.9419,2.9128,43.045,313.9372,451.1633
2019,성북구,0.6597,0.6597,38.7031,237.9361,354.7051
2019,송파구,1.0253,1.4647,39.9859,353.8677,438.2335
2019,양천구,1.2979,0.4326,27.4722,319.4999,346.5395
2019,영등포구,2.4939,0.7482,88.7812,600.7691,758.63
2019,용산구,1.2236,1.2236,110.9366,407.4474,830.3934
2019,은평구,0.6191,0.2064,40.0375,322.9828,436.9038
2019,종로구,2.4711,4.3245,147.0325,935.942,1286.2253
2019,중구,1.4653,4.396,142.8697,1613.3286,1408.1824
2019,중랑구,2.4874,0.995,34.3263,414.4031,609.4164
,,,,,,
,,,,,,
,,,,,,
,,,,5.448528451,6.553920009,
