기간,자치구,살인,강도,강간강제추행,절도,폭력,범죄증가비
2015,강남구,0.22346,0.36097,7.71796,66.17849,73.63861,2.024187431
2016,강남구,0.08739,0.68165,9.01877,62.69445,69.94791,2.039944627
2017,강남구,0.12477,0.35647,10.81896,55.78806,70.5104,2.03511306
2018,강남구,0.18266,0.25573,10.95984,54.87229,70.965,2.002646108
2019,강남구,0.09087,0.09087,12.10449,53.97949,66.48383,2.033792732
2015,강동구,0.08633,0.1295,3.367,51.06611,58.53393,1.989747654
2016,강동구,0.08919,0.31217,3.56768,39.11067,56.4139,2.137589339
2017,강동구,0.11354,0.22709,3.9059,37.35588,55.15954,2.028230725
2018,강동구,0.06946,0.16207,3.93591,35.07594,51.49102,2.066430703
2019,강동구,0.13624,0.34061,4.08729,37.46679,49.11556,1.995478817
2015,강북구,0.20931,0.41863,4.575,42.87944,79.21035,1.935531118
2016,강북구,0.21167,0.15119,6.56176,36.95147,84.00261,1.995417767
2017,강북구,0.2439,0.21341,6.34142,30.91445,65.73131,2.236206008
2018,강북구,0.24774,0.21678,5.82197,34.43631,65.71389,1.971887514
2019,강북구,0.18886,0.09443,5.5399,38.6849,76.2996,1.881042341
2015,강서구,0.11751,0.21823,4.39825,35.18603,53.83664,1.953464106
2016,강서구,0.14948,0.16608,4.56732,32.41965,53.2134,2.035802869
2017,강서구,0.18085,0.06576,5.19519,31.03961,47.94042,2.072186305
2018,강서구,0.18224,0.0994,4.45651,28.56144,43.38887,2.100841378
2019,강서구,0.13372,0.05014,5.11472,34.26529,42.73969,1.931775734
2015,관악구,0.17012,0.22683,6.04879,51.15012,62.34039,2.062831212
2016,관악구,0.11415,0.22831,6.12625,40.01088,61.54789,2.110238339
2017,관악구,0.15357,0.13438,7.27546,37.98982,60.50729,2.018545638
2018,관악구,0.17306,0.19229,6.76871,38.68933,50.82301,2.09740787
2019,관악구,0.25129,0.1933,7.88659,42.97031,51.68808,1.938409588
2015,광진구,0.10662,0.37315,6.39693,80.65462,69.96642,2.054584847
2016,광진구,0.1075,0.29562,7.4979,70.84041,64.2831,2.1011939
2017,광진구,0.16116,0.34918,7.01051,59.62965,57.642,2.146098764
2018,광진구,0.18865,0.0539,6.17146,47.67385,51.41984,2.182780972
2019,광진구,0.109,0.1635,7.43926,51.09382,50.49432,1.965304634
2015,구로구,0.17598,0.32996,6.1812,51.36338,66.14548,1.949204725
2016,구로구,0.20018,0.22242,6.07206,42.48221,70.37367,2.04059856
2017,구로구,0.15853,0.18118,7.42823,39.06613,64.02315,2.076614947
2018,구로구,0.18245,0.20525,5.70144,39.15746,64.44904,2.010589117
2019,구로구,0.2276,0.06828,5.14372,43.60779,58.08303,2.023944833
