기간,자치구,살인,강도,강간강제추행,절도,폭력
2017,은평구,0.12215,0.08143,4.68239,28.23686,45.92815
2017,서대문구,0.12307,0.03077,6.21485,37.84289,51.56479
2017,마포구,0.07776,0.20737,12.96065,54.27922,69.28766
2017,양천구,0.06316,0.06316,2.90515,33.47242,45.21934
2017,강서구,0.18085,0.06576,5.19519,31.03961,47.94042
2017,구로구,0.15853,0.18118,7.42823,39.06613,64.02315
2017,금천구,0.19725,0.19725,9.46779,45.01146,73.92767
2017,영등포구,0.37311,0.12437,11.31773,57.31001,79.3485
2017,동작구,0.02448,0.17136,9.69417,30.01275,41.61638
2017,관악구,0.15357,0.13438,7.27546,37.98982,60.50729
2017,서초구,0.20207,0.29187,10.55229,40.68244,53.97383
2017,강남구,0.12477,0.35647,10.81896,55.78806,70.5104
2017,송파구,0.0894,0.0149,4.291,33.88098,44.80216
2017,강동구,0.11354,0.22709,3.9059,37.35588,55.15954
2018,종로구,0.36804,0.18402,14.47622,90.96709,120.3489
2018,중구,0.14746,0.81101,15.26177,136.76613,144.13896
2018,용산구,0.0408,0.1224,13.50524,44.71827,80.78665
2018,성동구,0.0632,0.158,3.98151,31.56767,41.86903
2018,광진구,0.18865,0.0539,6.17146,47.67385,51.41984
2018,동대문구,0.05489,0.13724,3.97982,39.71587,57.11729
2018,중랑구,0.098,0.0735,4.26317,37.38849,63.23702
2018,성북구,0.15636,0.02234,4.08768,26.00031,37.68258
2018,강북구,0.24774,0.21678,5.82197,34.43631,65.71389
2018,도봉구,0.02927,0.14635,3.30749,22.85972,39.48497
2018,노원구,0.09121,0.09121,3.53911,25.94133,43.43622
2018,은평구,0.16405,0.02051,3.8551,26.20646,43.36985
2018,서대문구,0.15476,0.09286,6.37613,32.87112,47.23288
2018,마포구,0.1553,0.1553,12.2425,52.05004,69.26201
2018,양천구,0.04272,0.08544,2.56331,29.56349,42.82861
2018,강서구,0.18224,0.0994,4.45651,28.56144,43.38887
2018,구로구,0.18245,0.20525,5.70144,39.15746,64.44904
2018,금천구,0.2362,0.27557,7.87336,45.98045,75.26937
2018,영등포구,0.42121,0.19822,9.68781,56.7889,77.60159
2018,동작구,0.07328,0.17099,7.03494,28.11534,40.32879
2018,관악구,0.17306,0.19229,6.76871,38.68933,50.82301
2018,서초구,0.11411,0.11411,10.7266,42.24455,54.66002
2018,강남구,0.18266,0.25573,10.95984,54.87229,70.965
2018,송파구,0.07424,0.08909,4.58793,34.92169,46.5474
2018,강동구,0.06946,0.16207,3.93591,35.07594,51.49102
2019,종로구,0.24711,0.43245,14.70325,93.5942,128.62253
2019,중구,0.14653,0.4396,14.28697,161.33286,140.81824
2019,용산구,0.12236,0.12236,11.09366,40.74474,83.03934
2019,성동구,0.19419,0.29128,4.3045,31.39372,45.11633
2019,광진구,0.109,0.1635,7.43926,51.09382,50.49432
2019,동대문구,0.16528,0.27546,4.62781,42.17364,54.45936
2019,중랑구,0.24874,0.0995,3.43263,41.44031,60.94164
2019,성북구,0.06597,0.06597,3.87031,23.79361,35.47051
2019,강북구,0.18886,0.09443,5.5399,38.6849,76.2996
2019,도봉구,0.02979,0.14897,2.68152,23.53775,36.46862
2019,노원구,0.07445,0.05583,3.42451,27.87999,45.85867
